number,state,dependency_package_ecosystem,dependency_package_name,dependency_manifest_path,dependency_scope,security_advisory_ghsa_id,security_advisory_cve_id,security_advisory_summary,security_advisory_description,security_advisory_severity,security_advisory_identifiers,security_advisory_references,security_advisory_published_at,security_advisory_updated_at,security_advisory_withdrawn_at,security_advisory_vulnerabilities,security_advisory_cvss_vector_string,security_advisory_cvss_score,security_advisory_cwes,security_vulnerability_package_ecosystem,security_vulnerability_package_name,security_vulnerability_severity,security_vulnerability_vulnerable_version_range,security_vulnerability_first_patched_version,url,html_url,created_at,updated_at,dismissed_at,dismissed_by,dismissed_reason,dismissed_comment,fixed_at,auto_dismissed_at,repository_id,repository_node_id,repository_name,repository_full_name,repository_private,repository_owner_login,repository_owner_id,repository_owner_node_id,repository_owner_avatar_url,repository_owner_gravatar_id,repository_owner_url,repository_owner_html_url,repository_owner_followers_url,repository_owner_following_url,repository_owner_gists_url,repository_owner_starred_url,repository_owner_subscriptions_url,repository_owner_organizations_url,repository_owner_repos_url,repository_owner_events_url,repository_owner_received_events_url,repository_owner_type,repository_owner_site_admin,repository_html_url,repository_description,repository_fork,repository_url,repository_forks_url,repository_keys_url,repository_collaborators_url,repository_teams_url,repository_hooks_url,repository_issue_events_url,repository_events_url,repository_assignees_url,repository_branches_url,repository_tags_url,repository_blobs_url,repository_git_tags_url,repository_git_refs_url,repository_trees_url,repository_statuses_url,repository_languages_url,repository_stargazers_url,repository_contributors_url,repository_subscribers_url,repository_subscription_url,repository_commits_url,repository_git_commits_url,repository_comments_url,repository_issue_comment_url,repository_contents_url,repository_compare_url,repository_merges_url,repository_archive_url,repository_downloads_url,repository_issues_url,repository_pulls_url,repository_milestones_url,repository_notifications_url,repository_labels_url,repository_releases_url,repository_deployments_url
6,open,go,gopkg.in/src-d/go-git.v4,go.mod,runtime,GHSA-449p-3h89-pw88,CVE-2023-49569,Maliciously crafted Git server replies can lead to path traversal and RCE on go-git clients,"### Impact
A path traversal vulnerability was discovered in go-git versions prior to `v5.11`. This vulnerability allows an attacker to create and amend files across the filesystem. In the worse case scenario, remote code execution could be achieved.

Applications are only affected if they are using the [ChrootOS](https://pkg.go.dev/github.com/go-git/go-billy/v5/osfs#ChrootOS), which is the default when using ""Plain"" versions of Open and Clone funcs (e.g. PlainClone). Applications using [BoundOS](https://pkg.go.dev/github.com/go-git/go-billy/v5/osfs#BoundOS) or in-memory filesystems are not affected by this issue.
This is a `go-git` implementation issue and does not affect the upstream `git` cli.

### Patches
Users running versions of `go-git` from `v4` and above are recommended to upgrade to `v5.11` in order to mitigate this vulnerability.

### Workarounds
In cases where a bump to the latest version of `go-git` is not possible in a timely manner, we recommend limiting its use to only trust-worthy Git servers.

## Credit
Thanks to Ionut Lalu for responsibly disclosing this vulnerability to us.",critical,"[{'value': 'GHSA-449p-3h89-pw88', 'type': 'GHSA'}, {'value': 'CVE-2023-49569', 'type': 'CVE'}]","[{'url': 'https://github.com/go-git/go-git/security/advisories/GHSA-449p-3h89-pw88'}, {'url': 'https://nvd.nist.gov/vuln/detail/CVE-2023-49569'}, {'url': 'https://github.com/advisories/GHSA-449p-3h89-pw88'}]",2024-01-10T15:37:05Z,2024-01-23T18:50:24Z,,"[{'package': {'ecosystem': 'go', 'name': 'github.com/go-git/go-git/v4'}, 'severity': 'critical', 'vulnerable_version_range': '>= 4.0.0, <= 4.13.1', 'first_patched_version': None}, {'package': {'ecosystem': 'go', 'name': 'github.com/go-git/go-git/v5'}, 'severity': 'critical', 'vulnerable_version_range': '>= 5.0.0, < 5.11.0', 'first_patched_version': {'identifier': '5.11.0'}}, {'package': {'ecosystem': 'go', 'name': 'gopkg.in/src-d/go-git.v4'}, 'severity': 'critical', 'vulnerable_version_range': '>= 4.7.1', 'first_patched_version': None}]",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,"[{'cwe_id': 'CWE-22', 'name': ""Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')""}]",go,gopkg.in/src-d/go-git.v4,critical,>= 4.7.1,,https://api.github.com/repos/swell-consulting/secret-scanner/dependabot/alerts/6,https://github.com/swell-consulting/secret-scanner/security/dependabot/6,2024-05-15T20:34:42Z,2024-05-15T20:34:42Z,,,,,,,801227744,R_kgDOL8HD4A,secret-scanner,swell-consulting/secret-scanner,False,swell-consulting,151086419,O_kgDOCQFlUw,https://avatars.githubusercontent.com/u/151086419?v=4,,https://api.github.com/users/swell-consulting,https://github.com/swell-consulting,https://api.github.com/users/swell-consulting/followers,https://api.github.com/users/swell-consulting/following{/other_user},https://api.github.com/users/swell-consulting/gists{/gist_id},https://api.github.com/users/swell-consulting/starred{/owner}{/repo},https://api.github.com/users/swell-consulting/subscriptions,https://api.github.com/users/swell-consulting/orgs,https://api.github.com/users/swell-consulting/repos,https://api.github.com/users/swell-consulting/events{/privacy},https://api.github.com/users/swell-consulting/received_events,Organization,False,https://github.com/swell-consulting/secret-scanner,,True,https://api.github.com/repos/swell-consulting/secret-scanner,https://api.github.com/repos/swell-consulting/secret-scanner/forks,https://api.github.com/repos/swell-consulting/secret-scanner/keys{/key_id},https://api.github.com/repos/swell-consulting/secret-scanner/collaborators{/collaborator},https://api.github.com/repos/swell-consulting/secret-scanner/teams,https://api.github.com/repos/swell-consulting/secret-scanner/hooks,https://api.github.com/repos/swell-consulting/secret-scanner/issues/events{/number},https://api.github.com/repos/swell-consulting/secret-scanner/events,https://api.github.com/repos/swell-consulting/secret-scanner/assignees{/user},https://api.github.com/repos/swell-consulting/secret-scanner/branches{/branch},https://api.github.com/repos/swell-consulting/secret-scanner/tags,https://api.github.com/repos/swell-consulting/secret-scanner/git/blobs{/sha},https://api.github.com/repos/swell-consulting/secret-scanner/git/tags{/sha},https://api.github.com/repos/swell-consulting/secret-scanner/git/refs{/sha},https://api.github.com/repos/swell-consulting/secret-scanner/git/trees{/sha},https://api.github.com/repos/swell-consulting/secret-scanner/statuses/{sha},https://api.github.com/repos/swell-consulting/secret-scanner/languages,https://api.github.com/repos/swell-consulting/secret-scanner/stargazers,https://api.github.com/repos/swell-consulting/secret-scanner/contributors,https://api.github.com/repos/swell-consulting/secret-scanner/subscribers,https://api.github.com/repos/swell-consulting/secret-scanner/subscription,https://api.github.com/repos/swell-consulting/secret-scanner/commits{/sha},https://api.github.com/repos/swell-consulting/secret-scanner/git/commits{/sha},https://api.github.com/repos/swell-consulting/secret-scanner/comments{/number},https://api.github.com/repos/swell-consulting/secret-scanner/issues/comments{/number},https://api.github.com/repos/swell-consulting/secret-scanner/contents/{+path},https://api.github.com/repos/swell-consulting/secret-scanner/compare/{base}...{head},https://api.github.com/repos/swell-consulting/secret-scanner/merges,https://api.github.com/repos/swell-consulting/secret-scanner/{archive_format}{/ref},https://api.github.com/repos/swell-consulting/secret-scanner/downloads,https://api.github.com/repos/swell-consulting/secret-scanner/issues{/number},https://api.github.com/repos/swell-consulting/secret-scanner/pulls{/number},https://api.github.com/repos/swell-consulting/secret-scanner/milestones{/number},"https://api.github.com/repos/swell-consulting/secret-scanner/notifications{?since,all,participating}",https://api.github.com/repos/swell-consulting/secret-scanner/labels{/name},https://api.github.com/repos/swell-consulting/secret-scanner/releases{/id},https://api.github.com/repos/swell-consulting/secret-scanner/deployments
5,open,go,gopkg.in/src-d/go-git.v4,go.mod,runtime,GHSA-mw99-9chc-xw7r,CVE-2023-49568,Maliciously crafted Git server replies can cause DoS on go-git clients,"### Impact
A denial of service (DoS) vulnerability was discovered in go-git versions prior to `v5.11`. This vulnerability allows an attacker to perform denial of service attacks by providing specially crafted responses from a Git server which triggers resource exhaustion in `go-git` clients. 

Applications using only the in-memory filesystem supported by `go-git` are not affected by this vulnerability.
This is a `go-git` implementation issue and does not affect the upstream `git` cli.

### Patches
Users running versions of `go-git` from `v4` and above are recommended to upgrade to `v5.11` in order to mitigate this vulnerability.

### Workarounds
In cases where a bump to the latest version of `go-git` is not possible, we recommend limiting its use to only trust-worthy Git servers.

## Credit
Thanks to Ionut Lalu for responsibly disclosing this vulnerability to us.

### References
- [GHSA-mw99-9chc-xw7r](https://github.com/go-git/go-git/security/advisories/GHSA-mw99-9chc-xw7r)
",high,"[{'value': 'GHSA-mw99-9chc-xw7r', 'type': 'GHSA'}, {'value': 'CVE-2023-49568', 'type': 'CVE'}]","[{'url': 'https://github.com/go-git/go-git/security/advisories/GHSA-mw99-9chc-xw7r'}, {'url': 'https://nvd.nist.gov/vuln/detail/CVE-2023-49568'}, {'url': 'https://github.com/advisories/GHSA-mw99-9chc-xw7r'}]",2023-12-27T15:06:52Z,2024-01-23T18:49:16Z,,"[{'package': {'ecosystem': 'go', 'name': 'github.com/go-git/go-git/v5'}, 'severity': 'high', 'vulnerable_version_range': '>= 4.0.0, < 5.11.0', 'first_patched_version': {'identifier': '5.11.0'}}, {'package': {'ecosystem': 'go', 'name': 'gopkg.in/src-d/go-git.v4'}, 'severity': 'high', 'vulnerable_version_range': '>= 4.7.1', 'first_patched_version': None}]",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,"[{'cwe_id': 'CWE-20', 'name': 'Improper Input Validation'}]",go,gopkg.in/src-d/go-git.v4,high,>= 4.7.1,,https://api.github.com/repos/swell-consulting/secret-scanner/dependabot/alerts/5,https://github.com/swell-consulting/secret-scanner/security/dependabot/5,2024-05-15T20:34:42Z,2024-05-15T20:34:42Z,,,,,,,801227744,R_kgDOL8HD4A,secret-scanner,swell-consulting/secret-scanner,False,swell-consulting,151086419,O_kgDOCQFlUw,https://avatars.githubusercontent.com/u/151086419?v=4,,https://api.github.com/users/swell-consulting,https://github.com/swell-consulting,https://api.github.com/users/swell-consulting/followers,https://api.github.com/users/swell-consulting/following{/other_user},https://api.github.com/users/swell-consulting/gists{/gist_id},https://api.github.com/users/swell-consulting/starred{/owner}{/repo},https://api.github.com/users/swell-consulting/subscriptions,https://api.github.com/users/swell-consulting/orgs,https://api.github.com/users/swell-consulting/repos,https://api.github.com/users/swell-consulting/events{/privacy},https://api.github.com/users/swell-consulting/received_events,Organization,False,https://github.com/swell-consulting/secret-scanner,,True,https://api.github.com/repos/swell-consulting/secret-scanner,https://api.github.com/repos/swell-consulting/secret-scanner/forks,https://api.github.com/repos/swell-consulting/secret-scanner/keys{/key_id},https://api.github.com/repos/swell-consulting/secret-scanner/collaborators{/collaborator},https://api.github.com/repos/swell-consulting/secret-scanner/teams,https://api.github.com/repos/swell-consulting/secret-scanner/hooks,https://api.github.com/repos/swell-consulting/secret-scanner/issues/events{/number},https://api.github.com/repos/swell-consulting/secret-scanner/events,https://api.github.com/repos/swell-consulting/secret-scanner/assignees{/user},https://api.github.com/repos/swell-consulting/secret-scanner/branches{/branch},https://api.github.com/repos/swell-consulting/secret-scanner/tags,https://api.github.com/repos/swell-consulting/secret-scanner/git/blobs{/sha},https://api.github.com/repos/swell-consulting/secret-scanner/git/tags{/sha},https://api.github.com/repos/swell-consulting/secret-scanner/git/refs{/sha},https://api.github.com/repos/swell-consulting/secret-scanner/git/trees{/sha},https://api.github.com/repos/swell-consulting/secret-scanner/statuses/{sha},https://api.github.com/repos/swell-consulting/secret-scanner/languages,https://api.github.com/repos/swell-consulting/secret-scanner/stargazers,https://api.github.com/repos/swell-consulting/secret-scanner/contributors,https://api.github.com/repos/swell-consulting/secret-scanner/subscribers,https://api.github.com/repos/swell-consulting/secret-scanner/subscription,https://api.github.com/repos/swell-consulting/secret-scanner/commits{/sha},https://api.github.com/repos/swell-consulting/secret-scanner/git/commits{/sha},https://api.github.com/repos/swell-consulting/secret-scanner/comments{/number},https://api.github.com/repos/swell-consulting/secret-scanner/issues/comments{/number},https://api.github.com/repos/swell-consulting/secret-scanner/contents/{+path},https://api.github.com/repos/swell-consulting/secret-scanner/compare/{base}...{head},https://api.github.com/repos/swell-consulting/secret-scanner/merges,https://api.github.com/repos/swell-consulting/secret-scanner/{archive_format}{/ref},https://api.github.com/repos/swell-consulting/secret-scanner/downloads,https://api.github.com/repos/swell-consulting/secret-scanner/issues{/number},https://api.github.com/repos/swell-consulting/secret-scanner/pulls{/number},https://api.github.com/repos/swell-consulting/secret-scanner/milestones{/number},"https://api.github.com/repos/swell-consulting/secret-scanner/notifications{?since,all,participating}",https://api.github.com/repos/swell-consulting/secret-scanner/labels{/name},https://api.github.com/repos/swell-consulting/secret-scanner/releases{/id},https://api.github.com/repos/swell-consulting/secret-scanner/deployments
