most_recent_instance_classifications,rule_description,tool_name,rule_tags,tool_guid,most_recent_instance_location_path,most_recent_instance_analysis_key,updated_at,dismissed_by,url,rule_id,most_recent_instance_category,most_recent_instance_message_text,dismissed_at,most_recent_instance_environment,instances_url,tool_version,created_at,number,html_url,most_recent_instance_location_start_line,rule_security_severity_level,state,most_recent_instance_location_start_column,rule_severity,most_recent_instance_location_end_line,most_recent_instance_ref,dismissed_reason,most_recent_instance_state,fixed_at,rule_name,most_recent_instance_location_end_column,most_recent_instance_commit_sha,dismissed_comment
[],AWS Classic resource usage.,defsec,[],,iac-misconfiguration/main.tf,.github/workflows/tfsec.yml:tfsec,2024-01-10T20:19:36Z,,https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/20,aws-rds-no-classic-resources,.github/workflows/tfsec.yml:tfsec,Classic resources should not be used.,,{},https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/20/instances,,2024-01-10T19:56:53Z,20,https://github.com/austimkelly/swiss-cheese/security/code-scanning/20,12,,open,1,error,14,refs/heads/main,,open,,,0,dc48145b638ad790a2b3437d7e83b0909d99ae52,
[],Use of plain HTTP.,defsec,[],,iac-misconfiguration/main.tf,.github/workflows/tfsec.yml:tfsec,2024-01-10T20:19:36Z,,https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/19,aws-elb-http-not-used,.github/workflows/tfsec.yml:tfsec,Listener for application load balancer does not use HTTPS.,,{},https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/19/instances,,2024-01-10T19:56:53Z,19,https://github.com/austimkelly/swiss-cheese/security/code-scanning/19,9,,open,1,error,9,refs/heads/main,,open,,,0,dc48145b638ad790a2b3437d7e83b0909d99ae52,
[],User data for EC2 instances must not contain sensitive AWS keys,defsec,[],,iac-misconfiguration/main.tf,.github/workflows/tfsec.yml:tfsec,2024-01-10T20:19:36Z,,https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/18,aws-ec2-no-secrets-in-user-data,.github/workflows/tfsec.yml:tfsec,Sensitive data found in instance user data: Password literal text,,{},https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/18/instances,,2024-01-10T19:56:53Z,18,https://github.com/austimkelly/swiss-cheese/security/code-scanning/18,17,,open,1,error,19,refs/heads/main,,open,,,0,dc48145b638ad790a2b3437d7e83b0909d99ae52,
[],An ingress security group rule allows traffic from /0.,defsec,[],,iac-misconfiguration/main.tf,.github/workflows/tfsec.yml:tfsec,2024-01-10T20:19:36Z,,https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/17,aws-ec2-no-public-ingress-sgr,.github/workflows/tfsec.yml:tfsec,Security group rule allows ingress from public internet.,,{},https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/17/instances,,2024-01-10T19:56:53Z,17,https://github.com/austimkelly/swiss-cheese/security/code-scanning/17,4,,open,1,error,4,refs/heads/main,,open,,,0,dc48145b638ad790a2b3437d7e83b0909d99ae52,
[],aws_instance should activate session tokens for Instance Metadata Service.,defsec,[],,iac-misconfiguration/main.tf,.github/workflows/tfsec.yml:tfsec,2024-01-10T20:19:36Z,,https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/16,aws-ec2-enforce-http-token-imds,.github/workflows/tfsec.yml:tfsec,Instance does not require IMDS access to require a token,,{},https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/16/instances,,2024-01-10T19:56:53Z,16,https://github.com/austimkelly/swiss-cheese/security/code-scanning/16,16,,open,1,error,20,refs/heads/main,,open,,,0,dc48145b638ad790a2b3437d7e83b0909d99ae52,
[],aws_instance should activate session tokens for Instance Metadata Service.,defsec,[],,iac-misconfiguration/main.tf,.github/workflows/tfsec.yml:tfsec,2024-01-10T20:19:36Z,,https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/15,aws-ec2-enforce-http-token-imds,.github/workflows/tfsec.yml:tfsec,Instance does not require IMDS access to require a token,,{},https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/15/instances,,2024-01-10T19:56:53Z,15,https://github.com/austimkelly/swiss-cheese/security/code-scanning/15,66,,open,1,error,68,refs/heads/main,,open,,,0,dc48145b638ad790a2b3437d7e83b0909d99ae52,
[],Instance with unencrypted block device.,defsec,[],,iac-misconfiguration/main.tf,.github/workflows/tfsec.yml:tfsec,2024-01-10T20:19:36Z,,https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/14,aws-ec2-enable-at-rest-encryption,.github/workflows/tfsec.yml:tfsec,Root block device is not encrypted.,,{},https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/14/instances,,2024-01-10T19:56:53Z,14,https://github.com/austimkelly/swiss-cheese/security/code-scanning/14,16,,open,1,error,20,refs/heads/main,,open,,,0,dc48145b638ad790a2b3437d7e83b0909d99ae52,
[],Instance with unencrypted block device.,defsec,[],,iac-misconfiguration/main.tf,.github/workflows/tfsec.yml:tfsec,2024-01-10T20:19:36Z,,https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/13,aws-ec2-enable-at-rest-encryption,.github/workflows/tfsec.yml:tfsec,Root block device is not encrypted.,,{},https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/13/instances,,2024-01-10T19:56:53Z,13,https://github.com/austimkelly/swiss-cheese/security/code-scanning/13,66,,open,1,error,68,refs/heads/main,,open,,,0,dc48145b638ad790a2b3437d7e83b0909d99ae52,
[],Missing description for security group rule.,defsec,[],,iac-misconfiguration/main.tf,.github/workflows/tfsec.yml:tfsec,2024-01-10T20:19:36Z,,https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/12,aws-ec2-add-description-to-security-group-rule,.github/workflows/tfsec.yml:tfsec,Security group rule does not have a description.,,{},https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/12/instances,,2024-01-10T19:56:53Z,12,https://github.com/austimkelly/swiss-cheese/security/code-scanning/12,2,,open,1,note,5,refs/heads/main,,open,,,0,dc48145b638ad790a2b3437d7e83b0909d99ae52,
[],DAX Cluster and tables should always encrypt data at rest,defsec,[],,iac-misconfiguration/main.tf,.github/workflows/tfsec.yml:tfsec,2024-01-10T20:19:36Z,,https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/11,aws-dynamodb-enable-at-rest-encryption,.github/workflows/tfsec.yml:tfsec,Table encryption is not enabled.,,{},https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/11/instances,,2024-01-10T19:56:53Z,11,https://github.com/austimkelly/swiss-cheese/security/code-scanning/11,49,,open,1,error,64,refs/heads/main,,open,,,0,dc48145b638ad790a2b3437d7e83b0909d99ae52,
